treatment,mean,se,lo,hi
3,.4301909307875895,.011994283,.40668213,.45369974
2,.4559523809523809,.016090019,.42441595,.48748881
1,.4610311750599521,.022589283,.41675618,.50530618
6,.4301909307875895,.019724865,.39153019,.46885166
5,.5277611940298508,.037550557,.45416209,.60136026
4,.5274725274725275,.017596783,.49298283,.56196225
