treatment,mean,se,lo,hi
3,.1431980906921241,.0003225304,.14256594,.14383025
2,.1428571428571428,6.7512004e-18,.14285715,.14285715
1,.1193045563549161,.0034399359,.11256228,.12604684
6,.1431980906921241,.00035486059,.14250256,.14389361
5,.0656716417910448,.0036066922,.058602527,.072740756
4,.0620879120879121,.0041519585,.053950075,.070225753
