treatment,truth,first_choice,rank,points,unassigned,takeup,success,treatment_label
1.0,0.3321343,0.46103117,2.6055155,6.972422,0.11930455635491606,0.7487437,0.1624161,"DA, probabilistic appeals"
2.0,0.31904763,0.45595238,2.7386904,6.3065476,0.14285714285714285,0.6726727,0.0,"DA, strict appeals"
3.0,0.28818616,0.43019092,2.74105,6.2947493,0.1431980906921241,,,"DA, no appeals"
4.0,0.38846153,0.52747256,2.0406594,9.796703,0.06208791208791209,0.7949791,0.45789474,"IA, probabilistic appeals"
5.0,0.3922388,0.5277612,2.0591044,9.704477,0.06567164179104477,0.82272726,0.3922652,"IA, strict appeals"
6.0,0.27804297,0.43019092,2.328759,8.356205,0.1431980906921241,,,"IA, no appeals"
