treatment,mean,se,lo,hi
3,6.294749403341289,.055705491,6.1855664,6.4039321
2,6.306547619047619,.024066806,6.2593765,6.3537188
1,6.97242206235012,.050947737,6.8725643,7.0722795
6,8.356205250596659,.16702768,8.0288305,8.6835794
5,9.704477611940298,.30296656,9.1106634,10.298292
4,9.796703296703297,.13987738,9.5225439,10.070863
