treatment,sub_mean,sub_se,sub_lo,sub_hi,true_mean,true_se,true_lo,true_hi
3,0,0,0,0,.32191357,.036771163,.24984211,.39398506
2,0,0,0,0,.26666668,.030333793,.20721245,.32612091
1,.3282467573881149,.047945876,.23427284,.42222068,.63019478,.059957784,.51267755,.74771208
6,.8638888796170553,.052060179,.76185095,.96592683,1.8236111,.10550071,1.6168298,2.0303924
5,.3174603217177921,.036150336,.24660566,.38831499,.81904763,.081972301,.65838188,.97971332
4,.3937500019868215,.039901037,.31554398,.47195604,1.0791667,.10343684,.87643045,1.2819029
