row,col,estimate,se,pvalue,N
1,1,-.5156531995521834,.056704022,9.2896133e-13,1435
2,1,-.446876994666377,.055084579,3.9676953e-11,1435
3,1,.000189498162829,.00028912924,.51479524,1435
4,1,.3063997569033251,.050008636,8.4093962e-08,1435
1,2,.0254267363217424,.0091703013,.0074624647,1435
2,2,.0773526316986684,.014947026,2.9697037e-06,1435
3,2,.0004295547755919,.0005032153,.39682722,1435
4,2,.7805630520891608,.090389617,5.3221381e-12,1435
1,3,.3420171205089804,.033096857,9.0632009e-15,1435
2,3,.2349758369889666,.036602773,2.7451925e-08,1435
3,3,-.000226249060576,.0002941073,.44485229,1435
4,3,-.3328680333181485,.036370136,7.4435521e-13,1435
