treatment,total,total_se,total_p,reporting,reporting_se,reporting_p,direct,direct_se,direct_p
2,.0117982157063317,.058879025,.84356052,.011798216,.058879025,.84356052,0,0,
1,.6776726590088291,.073409781,1.8782293e-08,.093140282,.064317077,.16387892,.58453238,.039823662,4.3061711e-08
5,1.348272361343643,.33567873,.00089453947,.81394398,.31661409,.019842183,.53432834,.032264188,1.7846612e-07
4,1.440498046106649,.21185648,1.3046657e-06,.83335519,.19760479,.00042326626,.60714287,.037191831,4.6619641e-09
